Model File,Size (MB)
scaler.sav,0.002765655517578125
MLP_Gatekeeper.sav,0.1200113296508789
MLP_Classifier.sav,0.18274211883544922
y_test.sav,0.36087703704833984
Decision_Tree.sav,0.7181053161621094
y_train.sav,1.4410123825073242
y_train_smote.sav,4.311130523681641
Bagging_Classifier.sav,6.414834022521973
X_test.sav,7.361352920532227
X_train.sav,29.441160202026367
Random_Forest.sav,136.22199726104736
X_train_smote.sav,171.56632614135742
